S.N.,Country,Total Cases,New Cases,Total Deaths,Total Recovered,Active Cases,Serious Critical,Tot cases/ 1M pop,Deaths / 1M pop,TOtal Tests,Tests/ 1M pop,Population,,,,,,,,,,,,
1,USA,"33,180,441",,"591,062 ",,"25,823,800",,"6,765,579","9,466","99,754","1,777","448,984,680","1,349,834","332,622,037 ",North America,105631,,,"20,340",,,,,
2,India,"19,925,604","+5,889","218,959 ",+14,"16,293,003","+11,265","3,413,642","8,944","14,321",157,"291,647,037","209,621","1,391,308,838 ",Asia,"706,3545",4,0.01,"2,454",,,,,
3,Brazil,"14,754,910",,"407,775 ",,"13,278,718",,"1,068,417","8,318","69,006","1,907","43,818,216","204,931","213,819,510 ",South America,145245,,,"4,997",,,,,
4,France,"5,652,247",,"104,819 ",,"4,636,940",,"910,488","5,585","86,434","1,603","76,694,164","1,172,798","65,394,155 ",Europe,126241,,,"13,923",,,,,
5,Turkey,"4,875,388",,"40,844 ",,"4,480,381",,"354,163","3,532","57,293",480,"47,744,338","561,071","85,094,968 ",Asia,"172,0832",,,"4,162",,,,,
6,Russia,"4,823,255",,"110,862 ",,"4,443,922",,"268,471","2,300","33,039",759,"129,800,000","889,122","145,986,759 ",Europe,"301,3171",,,"1,839",,,,,
7,UK,"4,420,201",,"127,538 ",,"4,221,582",,"71,081",185,"64,828","1,871","156,302,824","2,292,382","68,183,590 ",Europe,155350,,,"1,042",,,,,
8,Italy,"4,044,762",,"121,177 ",,"3,492,679",,"430,906","2,524","66,980","2,007","59,114,826","978,925","60,387,482 ",Europe,154981,,,"7,136",,,,,
9,Spain,"3,524,077",,"78,216 ",,"3,206,273",,"239,588","2,308","75,349","1,672","46,199,597","987,806","46,769,913 ",Europe,135981,,,"5,123",,,,,
10,Germany,"3,425,598",,"83,826 ",,"3,040,700","+16,100","301,072","5,049","40,777",998,"55,490,413","660,540","84,007,647 ",Europe,"251,0022",,,"3,584",,,,,
11,Argentina,"3,005,259",,"64,252 ",,"2,676,197",,"264,810","5,371","65,990","1,411","11,245,454","246,928","45,541,400 ",South America,157094,,,"5,815",,,,,
12,Colombia,"2,893,655",,"74,700 ",,"2,700,594",,"118,361","6,006","56,368","1,455","14,944,628","291,122","51,334,635 ",South America,186873,,,"2,306",,,,,
13,Poland,"2,803,233",,"68,068 ",,"2,520,968",,"214,197","2,652","74,136","1,800","14,428,003","381,573","37,811,953 ",Europe,135563,,,"5,665",,,,,
14,Iran,"2,534,855",,"72,484 ",,"1,988,165",,"474,206","5,443","29,861",854,"16,101,399","189,679","84,887,747 ",Asia,"331,1715",,,"5,586",,,,,
15,Mexico,"2,348,873","+1,093","217,233 ",+65,"1,867,191",,"264,449","4,798","18,060","1,670","6,654,713","51,166","130,061,146 ",North America,5559920,8,0.5,"2,033",,,,,
16,Ukraine,"2,083,180",,"44,596 ",,"1,676,265",,"362,319",177,"47,874","1,025","9,477,843","217,813","43,513,767 ",Europe,219765,,,"8,327",,,,,
17,Peru,"1,810,998",,"62,126 ",,"1,688,091",,"60,781","2,654","54,296","1,863","11,269,734","337,883","33,353,981 ",South America,185373,,,"1,822",,,,,
18,Indonesia,"1,677,274",,"45,796 ",,"1,530,718",,"100,760",,"6,079",166,"14,703,659","53,287","275,932,862 ",Asia,"1656,02519",,,365,,,,,
19,Czechia,"1,634,114",,"29,343 ",,"1,555,215",,"49,556",497,"152,357","2,736","18,422,238","1,717,599","10,725,578 ",Europe,73661,,,"4,620",,,,,
20,South Africa,"1,584,064",,"54,417 ",,"1,507,778",,"21,869",546,"26,431",908,"10,699,021","178,522","59,931,112 ",Africa,"381,1016",,,365,,,,,
21,Netherlands,"1,507,615",,"17,172 ",,"1,270,524",,"219,919",810,"87,823","1,000","12,274,847","715,045","17,166,540 ",Europe,"111,0001",,,"12,811",,,,,
22,Canada,"1,234,181",,"24,300  ",,"1,126,138",,"83,743","1,422","32,463",639,"31,756,698","835,308","38,017,972 ",North America,"311,5651",,,"2,203",,,,,
23,Chile,"1,210,920",,"26,561 ",,"1,143,565",,"40,794","3,318","62,895","1,380","13,182,710","684,710","19,252,980 ",South America,167251,,,"2,119",,,,,
24,Iraq,"1,074,930",,"15,536 ",,"957,200",,"102,194",578,"26,236",379,"9,408,134","229,629","40,971,011 ",Asia,"382,6374",,,"2,494",,,,,
25,Romania,"1,057,655",,"28,282 ",,"995,506",,"33,867","1,253","55,287","1,478","8,285,525","433,112","19,130,218 ",Europe,186762,,,"1,770",,,,,
26,Philippines,"1,054,983",,"17,431 ",,"966,080",,"71,472",750,"9,522",157,"11,901,873","107,423","110,794,784 ",Asia,"1056,3569",,,645,,,,,
27,Belgium,"995,562","+2,128","24,291 ",+33,"868,327","+10,104","102,944",824,"85,590","2,088","12,622,262","1,085,158","11,631,725 ",Europe,124791,183,3,"8,850",,,,,
28,Sweden,"973,604",,"14,048 ",,"812,942","+6,847","146,614",392,"95,905","1,384","8,482,276","835,544","10,151,798 ",Europe,107231,,,"14,442",,,,,
29,Israel,"838,554",,"6,366 ",,"830,878",,"1,310",100,"91,171",692,"14,209,340","1,544,898","9,197,590 ",Asia,"111,4451",,,142,,,,,
30,Portugal,"837,277",,"16,977 ",,"796,721",,"23,579",85,"82,313","1,669","10,515,374","1,033,773","10,171,837 ",Europe,125991,,,"2,318",,,,,
31,Pakistan,"834,146","+4,213","18,149 ",+79,"728,044","+5,842","87,953","5,377","3,716",81,"11,928,095","53,143","224,453,453 ",Asia,"26912,36719",19,0.4,392,,,,,
32,Hungary,"782,892",,"27,802 ",,"523,510",,"231,580",587,"81,214","2,884","5,415,983","561,834","9,639,833 ",Europe,123472,,,"24,023",,,,,
33,Bangladesh,"761,943",,"11,579 ",,"687,328",,"63,036","1,069","4,588",70,"5,498,979","33,115","166,056,388 ",Asia,"21814,34130",,,380,,,,,
34,Jordan,"712,901",,"8,897 ",,"688,519",,"15,485",729,"69,298",865,"6,727,600","653,957","10,287,526 ",Asia,"141,1562",,,"1,505",,,,,
35,Serbia,"691,920",,"6,409 ",,"642,359",,"43,152",153,"79,459",736,"3,853,869","442,571","8,707,919 ",Europe,"131,3592",,,"4,955",,,,,
36,Switzerland,"659,974",,"10,634 ",,"590,565",,"58,775",238,"75,795","1,221","6,911,371","793,735","8,707,402 ",Europe,138191,,,"6,750",,,,,
37,Austria,"622,110",,"10,245 ",,"589,534",,"22,331",476,"68,747","1,132","32,383,974","3,578,627","9,049,274 ",Europe,158830,,,"2,468",,,,,
38,Japan,"597,225",,"10,296 ",,"527,233",,"59,696","1,050","4,734",82,"11,968,449","94,873","126,152,546 ",Asia,"21112,25311",,,473,,,,,
39,Lebanon,"528,208",,"7,324 ",,"464,660",,"56,224",560,"77,679","1,077","4,011,613","589,955","6,799,864 ",Asia,139282,,,"8,268",,,,,
40,UAE,"523,795",,"1,593 ",,"504,251",,"17,951",,"52,433",159,"44,517,421","4,456,249","9,989,887 ",Asia,"196,2710",,,"1,797",,,,,
41,Morocco,"511,856",,"9,028 ",,"498,415",,"4,413",198,"13,732",242,"6,278,157","168,429","37,274,817 ",Africa,"734,1296",,,118,,,,,
42,Saudi Arabia,"419,348",,"6,979 ",,"402,664",,"9,705","1,351","11,891",198,"17,031,714","482,968","35,264,673 ",Asia,"845,0532",,,275,,,,,
43,Malaysia,"415,012",,"1,533 ",,"383,140",,"30,339",345,"12,687",47,"9,540,805","291,668","32,711,147 ",Asia,"7921,3383",,,927,,,,,
44,Bulgaria,"405,194",,"16,492 ",,"340,442",,"48,260",662,"58,684","2,389","2,528,642","366,224","6,904,630 ",Europe,174193,,,"6,990",,,,,
45,Ecuador,"387,299",,"18,740 ",,"329,582",,"38,977",617,"21,678","1,049","1,294,163","72,438","17,865,843 ",South America,4695314,,,"2,182",,,,,
46,Slovakia,"383,098",,"11,766 ",,"364,208",,"7,124",310,"70,141","2,154","2,664,217","487,786","5,461,852 ",Europe,144642,,,"1,304",,,,,
47,Panama,"365,104",,"6,238 ",,"354,974",,"3,892",105,"83,524","1,427","2,408,437","550,974","4,371,239 ",North America,127012,,,890,,,,,
48,Belarus,"361,063",,"2,562 ",,"351,816",,"6,685",,"38,221",271,"5,887,035","623,183","9,446,725 ",Europe,"263,6872",,,708,,,,,
49,Greece,"346,422",,"10,453  ",,"306,498",,"29,471",811,"33,373","1,007","8,165,612","786,635","10,380,439 ",Europe,309931,,,"2,839",,,,,
50,Nepal,"336,030",,"3,325 ",,"283,994",,"48,711",,"11,363",112,"2,504,476","84,690","29,572,148 ",Asia,"888,89412",,,"1,647",,,,,
51,Croatia,"335,173",,"7,182 ",,"314,839",,"13,152",240,"82,068","1,759","1,822,875","446,338","4,084,069 ",Europe,125692,,,"3,220",,,,,
52,Kazakhstan,"327,995","+2,496","3,733 ",+16,"280,342","+1,758","43,920",221,"17,296",197,"10,307,341","543,530","18,963,698 ",Asia,"585,0802",132,0.8,"2,316",,,,,
53,Azerbaijan,"321,380",,"4,561 ",,"293,689",,"23,130",,"31,461",446,"3,262,655","319,388","10,215,343 ",Asia,"322,2403",,,"2,264",,,,,
54,Georgia,"312,445",,"4,151 ",,"293,052",,"15,242",,"78,449","1,042","4,218,198","1,059,113","3,982,763 ",Asia,139591,,,"3,827",,,,,
55,Tunisia,"311,743",,"10,868 ",,"262,602",,"38,273",521,"26,149",912,"1,323,656","111,030","11,921,634 ",Africa,"381,0979",,,"3,210",,,,,
56,Bolivia,"306,527",,"13,009 ",,"252,780",,"40,738",71,"25,965","1,102","1,178,553","99,831","11,805,509 ",South America,3990710,,,"3,451",,,,,
57,Palestine,"297,638",,"3,272 ",,"275,392",,"18,974",146,"57,241",629,"1,748,434","336,255","5,199,729 ",Asia,"171,5893",,,"3,649",,,,,
58,Paraguay,"282,543",,"6,572 ",,"233,453",,"42,518",508,"39,212",912,"1,109,043","153,917","7,205,473 ",South America,"261,0966",,,"5,901",,,,,
59,Kuwait,"276,586",,"1,578 ",,"260,008",,"15,000",208,"63,979",365,"2,343,069","541,988","4,323,100 ",Asia,"162,7402",,,"3,470",,,,,
60,Dominican Republic,"267,455",,"3,493 ",,"227,924",,"36,038",189,"24,451",319,"1,410,731","128,969","10,938,541 ",North America,"413,1328",,,"3,295",,,,,
61,Ethiopia,"258,384",,"3,726 ",,"200,508",,"54,150",883,"2,202",32,"2,586,083","22,042","117,323,008 ",Africa,"45431,48845",,,462,,,,,
62,Denmark,"252,912",,"2,490 ",,"240,569",,"9,853",37,"43,536",429,"38,718,735","6,665,034","5,809,233 ",Europe,"232,3330",,,"1,696",,,,,
63,Moldova,"251,335",,"5,838 ",,"240,824",,"4,673",199,"62,426","1,450","995,385","247,232","4,026,121 ",Europe,166904,,,"1,161",,,,,
64,Costa Rica,"250,991",,"3,231 ",,"203,009",,"44,751",380,"48,899",629,"974,477","189,850","5,132,885 ",North America,"201,5895",,,"8,718",,,,,
65,Ireland,"249,838",,"4,906 ",,"232,281",,"12,651",41,"50,131",984,"4,512,912","905,531","4,983,721 ",Europe,"201,0161",,,"2,538",,,,,
66,Lithuania,"249,680",,"3,950 ",,"224,833",,"20,897",223,"92,803","1,468","2,831,332","1,052,377","2,690,416 ",Europe,116811,,,"7,767",,,,,
67,Slovenia,"241,672",,"4,263 ",,"227,883",,"9,526",152,"116,234","2,050","1,180,616","567,829","2,079,177 ",Europe,94882,,,"4,582",,,,,
68,Egypt,"229,635",,"13,469 ",,"172,342",,"43,824",90,"2,209",130,"2,715,258","26,124","103,937,253 ",Africa,"4537,71738",,,422,,,,,
69,Guatemala,"228,684",,"7,558 ",,"205,365",,"15,761",5,"12,571",415,"1,265,849","69,587","18,190,819 ",North America,"802,40714",,,866,,,,,
70,Armenia,"216,863",,"4,139 ",,"199,755",,"12,969",,"73,070","1,395","991,027","333,919","2,967,870 ",Asia,147173,,,"4,370",,,,,
71,Honduras,"213,970",+803,"5,334 ",+16,"79,096",+290,"129,540",566,"21,321",532,"631,929","62,969","10,035,572 ",North America,"471,88116",80,2,"12,908",,,,,
72,Qatar,"206,948",,472 ,,"192,551",,"13,925",341,"73,705",168,"1,913,127","681,360","2,807,805 ",Asia,"145,9491",,,"4,959",,,,,
73,Uruguay,"202,492",,"2,724 ",,"173,769",,"25,999",556,"58,124",782,"1,820,840","522,662","3,483,782 ",South America,"171,2792",,,"7,463",,,,,
74,Venezuela,"200,067",,"2,172 ",,"180,301",,"17,594",317,"7,052",77,"3,359,014","118,406","28,368,540 ",South America,"14213,0618",,,620,,,,,
75,Bosnia and Herzegovina,"198,461",,"8,551 ",,"159,223",,"30,687",,"60,808","2,620","907,054","277,919","3,263,731 ",Europe,163824,,,"9,402",,,,,
76,Oman,"195,807",,"2,043 ",,"176,833",,"16,931",276,"37,553",392,"1,550,000","297,265","5,214,205 ",Asia,"272,5523",,,"3,247",,,,,
77,Bahrain,"179,297",,651 ,,"167,852",,"10,794",98,"102,433",372,"4,124,188","2,356,156","1,750,388 ",Asia,"102,6890",,,"6,167",,,,,
78,Libya,"177,871",,"3,039 ",,"163,716",,"11,116",,"25,596",437,"961,088","138,305","6,949,039 ",Africa,"392,2877",,,"1,600",,,,,
79,Nigeria,"165,153",,"2,063 ",,"155,109",,"7,981",11,785,10,"1,912,628","9,092","210,372,768 ",Africa,"1,274101,974110",,,38,,,,,
80,Kenya,"160,422",,"2,763 ",,"108,861",,"48,798",190,"2,930",50,"1,679,779","30,679","54,753,700 ",Africa,"34119,81733",,,891,,,,,
81,North Macedonia,"152,685",,"4,936 ",,"133,473",,"14,276",124,"73,290","2,369","724,668","347,846","2,083,303 ",Europe,144223,,,"6,853",,,,,
82,Myanmar,"142,838",,"3,209 ",,"131,981",,"7,648",,"2,611",59,"2,579,427","47,144","54,714,033 ",Asia,"38317,05021",,,140,,,,,
83,Albania,"131,238",,"2,397 ",,"110,920",,"17,921",18,"45,645",834,"637,851","221,848","2,875,170 ",Europe,"221,1995",,,"6,233",,,,,
84,S. Korea,"123,728",+488,"1,834 ",+1,"113,356",+491,"8,538",164,"2,412",36,"8,915,326","173,768","51,306,055 ",Asia,"41527,9756",10,0.02,166,,,,,
85,Estonia,"122,685",,"1,168 ",,"112,267",,"9,250",57,"92,433",880,"1,293,019","974,186","1,327,281 ",Europe,"111,1361",,,"6,969",,,,,
86,Algeria,"122,522",,"3,270 ",,"85,398",,"33,854",28,"2,753",73,"230,861","5,187","44,508,817 ",Africa,"36313,611193",,,761,,,,,
87,Latvia,"119,750",,"2,144 ",,"108,949",,"8,657",84,"64,082","1,147","2,308,662","1,235,429","1,868,713 ",Europe,168721,,,"4,633",,,,,
88,Norway,"113,469",,756 ,,"88,952",,"23,761",36,"20,795",139,"5,212,177","955,209","5,456,585 ",Europe,"487,2181",,,"4,355",,,,,
89,Sri Lanka,"111,753",,696 ,,"97,848",,"13,209",,"5,201",32,"2,733,805","127,224","21,488,197 ",Asia,"19230,8748",,,615,,,,,
90,Cuba,"108,693",,664 ,,"102,339",,"5,690",113,"9,601",59,"3,677,091","324,807","11,320,836 ",North America,"10417,0493",,,503,,,,,
91,Montenegro,"97,619",,"1,505 ",,"93,874",,"2,240",69,"155,412","2,396","377,946","601,698","628,132 ",Europe,64172,,,"3,566",,,,,
92,Kyrgyzstan,"96,060",,"1,619 ",,"89,719",,"4,722",72,"14,524",245,"996,830","150,723","6,613,663 ",Asia,"694,0857",,,714,,,,,
93,Ghana,"92,601",,779 ,,"90,248",,"1,574",7,"2,929",25,"1,081,113","34,200","31,611,160 ",Africa,"34140,57929",,,50,,,,,
94,Zambia,"91,693",,"1,253 ",,"90,082",,358,48,"4,875",67,"1,409,851","74,952","18,809,998 ",Africa,"20515,01213",,,19,,,,,
95,Uzbekistan,"91,643",,652 ,,"87,628",,"3,363",23,"2,706",19,"1,377,915","40,679","33,872,676 ",Asia,"37051,95225",,,99,,,,,
96,Finland,"87,228",,914 ,,"46,000",,"40,314",31,"15,723",165,"4,497,845","810,728","5,547,911 ",Europe,"646,0701",,,"7,267",,,,,
97,Cameroon,"72,250",,"1,107 ",,"67,625",,"3,518",385,"2,667",41,"1,257,949","46,430","27,093,330 ",Africa,"37524,47522",,,130,,,,,
98,Mozambique,"69,984",,815 ,,"66,931",,"2,238",43,"2,188",25,"521,012","16,292","31,980,047 ",Africa,"45739,23961",,,70,,,,,
99,El Salvador,"69,198",,"2,132 ",,"64,876",,"2,190",31,"10,624",327,"914,674","140,427","6,513,517 ",North America,"943,0557",,,336,,,,,
100,Thailand,"68,984",,245 ,,"39,481",,"29,258",954,986,4,"8,124,896","116,159","69,946,261 ",Asia,"1,014285,4959",,,418,,,,,
101,Luxembourg,"67,397",,797 ,,"63,661",,"2,939",34,"106,230","1,256","2,673,110","4,213,318","634,443 ",Europe,97960,,,"4,632",,,,,
102,Cyprus,"66,372",,313 ,,"39,061",,"26,998",71,"54,641",258,"4,930,468","4,059,041","1,214,688 ",Asia,"183,8810",,,"22,226",,,,,
103,Singapore,"61,218",,31 ,,"60,786",,401,,"10,396",5,"9,536,636","1,619,480","5,888,704 ",Asia,"96189,9581",,,68,,,,,
